Model,Asset,RMSE,MAE
ARIMA,BND,0.0030102262107889882,0.0023412353202430184
ARIMA,SPY,0.010241883202923192,0.006733971822332401
ARIMA,TSLA,0.03818854240748027,0.02785948369584403
